,activity
3959,WALKING_UPSTAIRS
3960,WALKING_UPSTAIRS
3961,WALKING_UPSTAIRS
3962,WALKING_UPSTAIRS
3963,WALKING_UPSTAIRS
3964,WALKING_UPSTAIRS
3965,STANDING
3966,STANDING
3967,STANDING
3968,STANDING
3969,STANDING
3970,STANDING
3971,STANDING
3972,STANDING
3973,STANDING
3974,STANDING
3975,STANDING
3976,STANDING
3977,STANDING
3978,STANDING
3979,STANDING
3980,STANDING
3981,STANDING
3982,STANDING
3983,STANDING
3984,STANDING
3985,STANDING
3986,STANDING
3987,STANDING
3988,STANDING
3989,STANDING
3990,STANDING
3991,STANDING
3992,STANDING
3993,STANDING
3994,STANDING
3995,STANDING
3996,STANDING
3997,STANDING
3998,STANDING
3999,STANDING
4000,STANDING
4001,STANDING
4002,STANDING
4003,STANDING
4004,STANDING
4005,STANDING
4006,STANDING
4007,STANDING
4008,STANDING
4009,STANDING
4010,SITTING
4011,SITTING
4012,SITTING
4013,SITTING
4014,SITTING
4015,SITTING
4016,SITTING
4017,SITTING
4018,SITTING
4019,SITTING
4020,SITTING
4021,SITTING
4022,SITTING
4023,SITTING
4024,SITTING
4025,SITTING
4026,SITTING
4027,SITTING
4028,SITTING
4029,SITTING
4030,SITTING
4031,SITTING
4032,SITTING
4033,SITTING
4034,SITTING
4035,SITTING
4036,SITTING
4037,SITTING
4038,SITTING
4039,SITTING
4040,SITTING
4041,SITTING
4042,SITTING
4043,SITTING
4044,SITTING
4045,SITTING
4046,SITTING
4047,SITTING
4048,SITTING
4049,SITTING
4050,SITTING
4051,SITTING
4052,SITTING
4053,SITTING
4054,SITTING
4055,SITTING
4056,SITTING
4057,LAYING
4058,LAYING
4059,LAYING
4060,LAYING
4061,LAYING
4062,LAYING
4063,LAYING
4064,LAYING
4065,LAYING
4066,LAYING
4067,LAYING
4068,LAYING
4069,LAYING
4070,LAYING
4071,LAYING
4072,LAYING
4073,LAYING
4074,LAYING
4075,LAYING
4076,LAYING
4077,LAYING
4078,LAYING
4079,LAYING
4080,LAYING
4081,LAYING
4082,LAYING
4083,LAYING
4084,LAYING
4085,LAYING
4086,LAYING
4087,LAYING
4088,LAYING
4089,LAYING
4090,LAYING
4091,LAYING
4092,LAYING
4093,LAYING
4094,LAYING
4095,LAYING
4096,LAYING
4097,LAYING
4098,LAYING
4099,LAYING
4100,LAYING
4101,WALKING
4102,WALKING
4103,WALKING
4104,WALKING
4105,WALKING
4106,WALKING
4107,WALKING
4108,WALKING
4109,WALKING
4110,WALKING
4111,WALKING
4112,WALKING
4113,WALKING
4114,WALKING
4115,WALKING
4116,WALKING
4117,WALKING
4118,WALKING
4119,WALKING
4120,WALKING
4121,WALKING
4122,WALKING
4123,WALKING
4124,WALKING
4125,WALKING
4126,WALKING
4127,WALKING
4128,WALKING_DOWNSTAIRS
4129,WALKING_DOWNSTAIRS
4130,WALKING_DOWNSTAIRS
4131,WALKING_DOWNSTAIRS
4132,WALKING_DOWNSTAIRS
4133,WALKING_DOWNSTAIRS
4134,WALKING_DOWNSTAIRS
4135,WALKING_DOWNSTAIRS
4136,WALKING_DOWNSTAIRS
4137,WALKING_DOWNSTAIRS
4138,WALKING_DOWNSTAIRS
4139,WALKING_DOWNSTAIRS
4140,WALKING_DOWNSTAIRS
4141,WALKING_DOWNSTAIRS
4142,WALKING_DOWNSTAIRS
4143,WALKING_UPSTAIRS
4144,WALKING_UPSTAIRS
4145,WALKING_UPSTAIRS
4146,WALKING_UPSTAIRS
4147,WALKING_UPSTAIRS
4148,WALKING_UPSTAIRS
4149,WALKING_UPSTAIRS
4150,WALKING_UPSTAIRS
4151,WALKING_UPSTAIRS
4152,WALKING_UPSTAIRS
4153,WALKING_UPSTAIRS
4154,WALKING_UPSTAIRS
4155,WALKING_UPSTAIRS
4156,WALKING_UPSTAIRS
4157,WALKING_UPSTAIRS
4158,WALKING_UPSTAIRS
4159,WALKING_UPSTAIRS
4160,WALKING_DOWNSTAIRS
4161,WALKING_DOWNSTAIRS
4162,WALKING_DOWNSTAIRS
4163,WALKING_DOWNSTAIRS
4164,WALKING_DOWNSTAIRS
4165,WALKING_DOWNSTAIRS
4166,WALKING_DOWNSTAIRS
4167,WALKING_DOWNSTAIRS
4168,WALKING_UPSTAIRS
4169,WALKING_UPSTAIRS
4170,WALKING_UPSTAIRS
4171,WALKING_UPSTAIRS
4172,WALKING_UPSTAIRS
4173,WALKING_UPSTAIRS
4174,WALKING_UPSTAIRS
4175,WALKING_UPSTAIRS
4176,STANDING
4177,STANDING
4178,STANDING
4179,STANDING
4180,STANDING
4181,STANDING
4182,STANDING
4183,STANDING
4184,STANDING
4185,STANDING
4186,STANDING
4187,STANDING
4188,STANDING
4189,STANDING
4190,STANDING
4191,STANDING
4192,STANDING
4193,STANDING
4194,STANDING
4195,STANDING
4196,STANDING
4197,STANDING
4198,STANDING
4199,STANDING
4200,STANDING
4201,STANDING
4202,STANDING
4203,STANDING
4204,STANDING
4205,STANDING
4206,STANDING
4207,STANDING
4208,STANDING
4209,STANDING
4210,STANDING
4211,STANDING
4212,STANDING
4213,STANDING
4214,STANDING
4215,STANDING
4216,STANDING
4217,STANDING
4218,STANDING
4219,STANDING
4220,SITTING
4221,SITTING
4222,SITTING
4223,SITTING
4224,SITTING
4225,SITTING
4226,SITTING
4227,SITTING
4228,SITTING
4229,SITTING
4230,SITTING
4231,SITTING
4232,SITTING
4233,SITTING
4234,SITTING
4235,SITTING
4236,SITTING
4237,SITTING
4238,SITTING
4239,SITTING
4240,SITTING
4241,SITTING
4242,SITTING
4243,SITTING
4244,SITTING
4245,SITTING
4246,SITTING
4247,SITTING
4248,SITTING
4249,SITTING
4250,SITTING
4251,SITTING
4252,SITTING
4253,SITTING
4254,SITTING
4255,SITTING
4256,SITTING
4257,SITTING
4258,LAYING
4259,LAYING
4260,LAYING
4261,LAYING
4262,LAYING
4263,LAYING
4264,LAYING
4265,LAYING
4266,LAYING
4267,LAYING
4268,LAYING
4269,LAYING
4270,LAYING
4271,LAYING
4272,LAYING
4273,LAYING
4274,LAYING
4275,LAYING
4276,LAYING
4277,LAYING
4278,LAYING
4279,LAYING
4280,LAYING
4281,LAYING
4282,LAYING
4283,LAYING
4284,LAYING
4285,LAYING
4286,LAYING
4287,LAYING
4288,LAYING
4289,LAYING
4290,LAYING
4291,LAYING
4292,LAYING
4293,LAYING
4294,LAYING
4295,LAYING
4296,LAYING
4297,LAYING
4298,LAYING
4299,LAYING
4300,LAYING
4301,LAYING
4302,LAYING
4303,LAYING
4304,WALKING
4305,WALKING
4306,WALKING
4307,WALKING
4308,WALKING
4309,WALKING
4310,WALKING
4311,WALKING
4312,WALKING
4313,WALKING
4314,WALKING
4315,WALKING
4316,WALKING
4317,WALKING
4318,WALKING
4319,WALKING
4320,WALKING
4321,WALKING
4322,WALKING
4323,WALKING
4324,WALKING
4325,WALKING
4326,WALKING
4327,WALKING
4328,WALKING
4329,WALKING_DOWNSTAIRS
4330,WALKING_DOWNSTAIRS
4331,WALKING_DOWNSTAIRS
4332,WALKING_DOWNSTAIRS
4333,WALKING_DOWNSTAIRS
4334,WALKING_DOWNSTAIRS
4335,WALKING_DOWNSTAIRS
4336,WALKING_DOWNSTAIRS
4337,WALKING_DOWNSTAIRS
4338,WALKING_DOWNSTAIRS
4339,WALKING_DOWNSTAIRS
4340,WALKING_DOWNSTAIRS
4341,WALKING_DOWNSTAIRS
4342,WALKING_DOWNSTAIRS
4343,WALKING_DOWNSTAIRS
4344,WALKING_UPSTAIRS
4345,WALKING_UPSTAIRS
4346,WALKING_UPSTAIRS
4347,WALKING_UPSTAIRS
4348,WALKING_UPSTAIRS
4349,WALKING_UPSTAIRS
4350,WALKING_UPSTAIRS
4351,WALKING_UPSTAIRS
4352,WALKING_UPSTAIRS
4353,WALKING_UPSTAIRS
4354,WALKING_UPSTAIRS
4355,WALKING_UPSTAIRS
4356,WALKING_UPSTAIRS
4357,WALKING_UPSTAIRS
4358,WALKING_UPSTAIRS
4359,WALKING_DOWNSTAIRS
4360,WALKING_DOWNSTAIRS
4361,WALKING_DOWNSTAIRS
4362,WALKING_DOWNSTAIRS
4363,WALKING_DOWNSTAIRS
4364,WALKING_DOWNSTAIRS
4365,WALKING_DOWNSTAIRS
4366,WALKING_UPSTAIRS
4367,WALKING_UPSTAIRS
4368,WALKING_UPSTAIRS
4369,WALKING_UPSTAIRS
4370,WALKING_UPSTAIRS
4371,WALKING_UPSTAIRS
4372,WALKING_UPSTAIRS
4373,STANDING
4374,STANDING
4375,STANDING
4376,STANDING
4377,STANDING
4378,STANDING
4379,STANDING
4380,STANDING
4381,STANDING
4382,STANDING
4383,STANDING
4384,STANDING
4385,STANDING
4386,STANDING
4387,STANDING
4388,STANDING
4389,STANDING
4390,STANDING
4391,STANDING
4392,STANDING
4393,STANDING
4394,STANDING
4395,STANDING
4396,STANDING
4397,STANDING
4398,STANDING
4399,STANDING
4400,STANDING
4401,STANDING
4402,STANDING
4403,SITTING
4404,SITTING
4405,SITTING
4406,SITTING
4407,SITTING
4408,SITTING
4409,SITTING
4410,SITTING
4411,SITTING
4412,SITTING
4413,SITTING
4414,SITTING
4415,SITTING
4416,SITTING
4417,SITTING
4418,SITTING
4419,SITTING
4420,SITTING
4421,SITTING
4422,SITTING
4423,SITTING
4424,SITTING
4425,SITTING
4426,SITTING
4427,SITTING
4428,SITTING
4429,SITTING
4430,SITTING
4431,SITTING
4432,SITTING
4433,SITTING
4434,SITTING
4435,LAYING
4436,LAYING
4437,LAYING
4438,LAYING
4439,LAYING
4440,LAYING
4441,LAYING
4442,LAYING
4443,LAYING
4444,LAYING
4445,LAYING
4446,LAYING
4447,LAYING
4448,LAYING
4449,LAYING
4450,LAYING
4451,LAYING
4452,LAYING
4453,LAYING
4454,LAYING
4455,LAYING
4456,LAYING
4457,LAYING
4458,LAYING
4459,LAYING
4460,LAYING
4461,LAYING
4462,LAYING
4463,LAYING
4464,LAYING
4465,LAYING
4466,LAYING
4467,LAYING
4468,LAYING
4469,LAYING
4470,LAYING
4471,LAYING
4472,WALKING
4473,WALKING
4474,WALKING
4475,WALKING
4476,WALKING
4477,WALKING
4478,WALKING
4479,WALKING
4480,WALKING
4481,WALKING
4482,WALKING
4483,WALKING
4484,WALKING
4485,WALKING
4486,WALKING
4487,WALKING
4488,WALKING
4489,WALKING
4490,WALKING
4491,WALKING
4492,WALKING
4493,WALKING
4494,WALKING
4495,WALKING_DOWNSTAIRS
4496,WALKING_DOWNSTAIRS
4497,WALKING_DOWNSTAIRS
4498,WALKING_DOWNSTAIRS
4499,WALKING_DOWNSTAIRS
4500,WALKING_DOWNSTAIRS
4501,WALKING_DOWNSTAIRS
4502,WALKING_DOWNSTAIRS
4503,WALKING_DOWNSTAIRS
4504,WALKING_DOWNSTAIRS
4505,WALKING_DOWNSTAIRS
4506,WALKING_DOWNSTAIRS
4507,WALKING_UPSTAIRS
4508,WALKING_UPSTAIRS
4509,WALKING_UPSTAIRS
4510,WALKING_UPSTAIRS
4511,WALKING_UPSTAIRS
4512,WALKING_UPSTAIRS
4513,WALKING_UPSTAIRS
4514,WALKING_UPSTAIRS
4515,WALKING_UPSTAIRS
4516,WALKING_UPSTAIRS
4517,WALKING_UPSTAIRS
4518,WALKING_UPSTAIRS
4519,WALKING_UPSTAIRS
4520,WALKING_UPSTAIRS
4521,WALKING_DOWNSTAIRS
4522,WALKING_DOWNSTAIRS
4523,WALKING_DOWNSTAIRS
4524,WALKING_DOWNSTAIRS
4525,WALKING_DOWNSTAIRS
4526,WALKING_DOWNSTAIRS
4527,WALKING_UPSTAIRS
4528,WALKING_UPSTAIRS
4529,WALKING_UPSTAIRS
4530,WALKING_UPSTAIRS
4531,WALKING_UPSTAIRS
4532,WALKING_UPSTAIRS
4533,WALKING_UPSTAIRS
4534,STANDING
4535,STANDING
4536,STANDING
4537,STANDING
4538,STANDING
4539,STANDING
4540,STANDING
4541,STANDING
4542,STANDING
4543,STANDING
4544,STANDING
4545,STANDING
4546,STANDING
4547,STANDING
4548,STANDING
4549,STANDING
4550,STANDING
4551,STANDING
4552,STANDING
4553,STANDING
4554,STANDING
4555,STANDING
4556,STANDING
4557,STANDING
4558,STANDING
4559,STANDING
4560,STANDING
4561,STANDING
4562,STANDING
4563,STANDING
4564,STANDING
4565,STANDING
4566,STANDING
4567,SITTING
4568,SITTING
4569,SITTING
4570,SITTING
4571,SITTING
4572,SITTING
4573,SITTING
4574,SITTING
4575,SITTING
4576,SITTING
4577,SITTING
4578,SITTING
4579,SITTING
4580,SITTING
4581,SITTING
4582,SITTING
4583,SITTING
4584,SITTING
4585,SITTING
4586,SITTING
4587,SITTING
4588,SITTING
4589,SITTING
4590,SITTING
4591,SITTING
4592,SITTING
4593,SITTING
4594,SITTING
4595,SITTING
4596,SITTING
4597,LAYING
4598,LAYING
4599,LAYING
4600,LAYING
4601,LAYING
4602,LAYING
4603,LAYING
4604,LAYING
4605,LAYING
4606,LAYING
4607,LAYING
4608,LAYING
4609,LAYING
4610,LAYING
4611,LAYING
4612,LAYING
4613,LAYING
4614,LAYING
4615,LAYING
4616,LAYING
4617,LAYING
4618,LAYING
4619,LAYING
4620,LAYING
4621,LAYING
4622,LAYING
4623,LAYING
4624,LAYING
4625,LAYING
4626,LAYING
4627,LAYING
4628,LAYING
4629,LAYING
4630,LAYING
4631,LAYING
4632,WALKING
4633,WALKING
4634,WALKING
4635,WALKING
4636,WALKING
4637,WALKING
4638,WALKING
4639,WALKING
4640,WALKING
4641,WALKING
4642,WALKING
4643,WALKING
4644,WALKING
4645,WALKING
4646,WALKING
4647,WALKING
4648,WALKING
4649,WALKING
4650,WALKING
4651,WALKING
4652,WALKING
4653,WALKING
4654,WALKING
4655,WALKING_DOWNSTAIRS
4656,WALKING_DOWNSTAIRS
4657,WALKING_DOWNSTAIRS
4658,WALKING_DOWNSTAIRS
4659,WALKING_DOWNSTAIRS
4660,WALKING_DOWNSTAIRS
4661,WALKING_DOWNSTAIRS
4662,WALKING_DOWNSTAIRS
4663,WALKING_DOWNSTAIRS
4664,WALKING_DOWNSTAIRS
4665,WALKING_DOWNSTAIRS
4666,WALKING_DOWNSTAIRS
4667,WALKING_DOWNSTAIRS
4668,WALKING_DOWNSTAIRS
4669,WALKING_DOWNSTAIRS
4670,WALKING_DOWNSTAIRS
4671,WALKING_DOWNSTAIRS
4672,WALKING_DOWNSTAIRS
4673,WALKING_UPSTAIRS
4674,WALKING_UPSTAIRS
4675,WALKING_UPSTAIRS
4676,WALKING_UPSTAIRS
4677,WALKING_UPSTAIRS
4678,WALKING_UPSTAIRS
4679,WALKING_UPSTAIRS
4680,WALKING_UPSTAIRS
4681,WALKING_UPSTAIRS
4682,WALKING_UPSTAIRS
4683,WALKING_UPSTAIRS
4684,WALKING_UPSTAIRS
4685,WALKING_UPSTAIRS
4686,WALKING_UPSTAIRS
4687,WALKING_UPSTAIRS
4688,WALKING_UPSTAIRS
4689,WALKING_UPSTAIRS
4690,WALKING_UPSTAIRS
4691,WALKING_UPSTAIRS
4692,WALKING_UPSTAIRS
4693,WALKING_UPSTAIRS
4694,STANDING
4695,STANDING
4696,STANDING
4697,STANDING
4698,STANDING
4699,STANDING
4700,STANDING
4701,STANDING
4702,STANDING
4703,STANDING
4704,STANDING
4705,STANDING
4706,STANDING
4707,STANDING
4708,STANDING
4709,STANDING
4710,STANDING
4711,STANDING
4712,STANDING
4713,STANDING
4714,STANDING
4715,STANDING
4716,STANDING
4717,STANDING
4718,STANDING
4719,STANDING
4720,STANDING
4721,STANDING
4722,STANDING
4723,STANDING
4724,STANDING
4725,STANDING
4726,STANDING
4727,SITTING
4728,SITTING
4729,SITTING
4730,SITTING
4731,SITTING
4732,SITTING
4733,SITTING
4734,SITTING
4735,SITTING
4736,SITTING
4737,SITTING
4738,SITTING
4739,SITTING
4740,SITTING
4741,SITTING
4742,SITTING
4743,SITTING
4744,SITTING
4745,SITTING
4746,SITTING
4747,SITTING
4748,SITTING
4749,SITTING
4750,SITTING
4751,SITTING
4752,SITTING
4753,SITTING
4754,SITTING
4755,SITTING
4756,SITTING
4757,SITTING
4758,SITTING
4759,SITTING
4760,SITTING
4761,SITTING
4762,SITTING
4763,SITTING
4764,SITTING
4765,LAYING
4766,LAYING
4767,LAYING
4768,LAYING
4769,LAYING
4770,LAYING
4771,LAYING
4772,LAYING
4773,LAYING
4774,LAYING
4775,LAYING
4776,LAYING
4777,LAYING
4778,LAYING
4779,LAYING
4780,LAYING
4781,LAYING
4782,LAYING
4783,LAYING
4784,LAYING
4785,LAYING
4786,LAYING
4787,LAYING
4788,LAYING
4789,LAYING
4790,LAYING
4791,LAYING
4792,LAYING
4793,LAYING
4794,LAYING
4795,LAYING
4796,LAYING
4797,LAYING
4798,WALKING
4799,WALKING
4800,WALKING
4801,WALKING
4802,WALKING
4803,WALKING
4804,WALKING
4805,WALKING
4806,WALKING
4807,WALKING
4808,WALKING
4809,WALKING
4810,WALKING
4811,WALKING
4812,WALKING
4813,WALKING
4814,WALKING
4815,WALKING
4816,WALKING
4817,WALKING
4818,WALKING
4819,WALKING
4820,WALKING
4821,WALKING
4822,WALKING
4823,WALKING
4824,WALKING
4825,WALKING
4826,WALKING
4827,WALKING
4828,WALKING_DOWNSTAIRS
4829,WALKING_DOWNSTAIRS
4830,WALKING_DOWNSTAIRS
4831,WALKING_DOWNSTAIRS
4832,WALKING_DOWNSTAIRS
4833,WALKING_DOWNSTAIRS
4834,WALKING_DOWNSTAIRS
4835,WALKING_DOWNSTAIRS
4836,WALKING_DOWNSTAIRS
4837,WALKING_UPSTAIRS
4838,WALKING_UPSTAIRS
4839,WALKING_UPSTAIRS
4840,WALKING_UPSTAIRS
4841,WALKING_UPSTAIRS
4842,WALKING_UPSTAIRS
4843,WALKING_UPSTAIRS
4844,WALKING_UPSTAIRS
4845,WALKING_UPSTAIRS
4846,WALKING_DOWNSTAIRS
4847,WALKING_DOWNSTAIRS
4848,WALKING_DOWNSTAIRS
4849,WALKING_DOWNSTAIRS
4850,WALKING_DOWNSTAIRS
4851,WALKING_DOWNSTAIRS
4852,WALKING_DOWNSTAIRS
4853,WALKING_DOWNSTAIRS
4854,WALKING_DOWNSTAIRS
4855,WALKING_UPSTAIRS
4856,WALKING_UPSTAIRS
4857,WALKING_UPSTAIRS
4858,WALKING_UPSTAIRS
4859,WALKING_UPSTAIRS
4860,WALKING_UPSTAIRS
4861,WALKING_UPSTAIRS
4862,WALKING_UPSTAIRS
4863,WALKING_DOWNSTAIRS
4864,WALKING_DOWNSTAIRS
4865,WALKING_DOWNSTAIRS
4866,WALKING_DOWNSTAIRS
4867,WALKING_DOWNSTAIRS
4868,WALKING_DOWNSTAIRS
4869,WALKING_DOWNSTAIRS
4870,WALKING_DOWNSTAIRS
4871,WALKING_DOWNSTAIRS
4872,WALKING_UPSTAIRS
4873,WALKING_UPSTAIRS
4874,WALKING_UPSTAIRS
4875,WALKING_UPSTAIRS
4876,WALKING_UPSTAIRS
4877,WALKING_UPSTAIRS
4878,WALKING_UPSTAIRS
4879,WALKING_UPSTAIRS
4880,STANDING
4881,STANDING
4882,STANDING
4883,STANDING
4884,STANDING
4885,STANDING
4886,STANDING
4887,STANDING
4888,STANDING
4889,STANDING
4890,STANDING
4891,STANDING
4892,STANDING
4893,STANDING
4894,STANDING
4895,STANDING
4896,STANDING
4897,STANDING
4898,STANDING
4899,STANDING
4900,STANDING
4901,STANDING
4902,STANDING
4903,STANDING
4904,STANDING
4905,STANDING
4906,STANDING
4907,STANDING
4908,STANDING
4909,STANDING
4910,STANDING
4911,STANDING
4912,STANDING
4913,STANDING
4914,STANDING
4915,SITTING
4916,SITTING
4917,SITTING
4918,SITTING
4919,SITTING
4920,SITTING
4921,SITTING
4922,SITTING
4923,SITTING
4924,SITTING
4925,SITTING
4926,SITTING
4927,SITTING
4928,SITTING
4929,SITTING
4930,SITTING
4931,SITTING
4932,SITTING
4933,SITTING
4934,SITTING
4935,SITTING
4936,SITTING
4937,SITTING
4938,SITTING
4939,SITTING
4940,SITTING
4941,SITTING
4942,SITTING
4943,SITTING
4944,SITTING
4945,LAYING
4946,LAYING
4947,LAYING
4948,LAYING
4949,LAYING
4950,LAYING
4951,LAYING
4952,LAYING
4953,LAYING
4954,LAYING
4955,LAYING
4956,LAYING
4957,LAYING
4958,LAYING
4959,LAYING
4960,LAYING
4961,LAYING
4962,LAYING
4963,LAYING
4964,LAYING
4965,LAYING
4966,LAYING
4967,LAYING
4968,LAYING
4969,LAYING
4970,LAYING
4971,LAYING
4972,LAYING
4973,LAYING
4974,LAYING
4975,LAYING
4976,LAYING
4977,LAYING
4978,LAYING
4979,LAYING
4980,LAYING
4981,LAYING
4982,LAYING
4983,LAYING
4984,WALKING
4985,WALKING
4986,WALKING
4987,WALKING
4988,WALKING
4989,WALKING
4990,WALKING
4991,WALKING
4992,WALKING
4993,WALKING
4994,WALKING
4995,WALKING
4996,WALKING
4997,WALKING
4998,WALKING
4999,WALKING
5000,WALKING
5001,WALKING
5002,WALKING
5003,WALKING
5004,WALKING
5005,WALKING
5006,WALKING
5007,WALKING
5008,WALKING
5009,WALKING
5010,WALKING
5011,WALKING
5012,WALKING
5013,WALKING_DOWNSTAIRS
5014,WALKING_DOWNSTAIRS
5015,WALKING_DOWNSTAIRS
5016,WALKING_DOWNSTAIRS
5017,WALKING_DOWNSTAIRS
5018,WALKING_DOWNSTAIRS
5019,WALKING_DOWNSTAIRS
5020,WALKING_DOWNSTAIRS
5021,WALKING_DOWNSTAIRS
5022,WALKING_DOWNSTAIRS
5023,WALKING_DOWNSTAIRS
5024,WALKING_DOWNSTAIRS
5025,WALKING_DOWNSTAIRS
5026,WALKING_DOWNSTAIRS
5027,WALKING_DOWNSTAIRS
5028,WALKING_DOWNSTAIRS
5029,WALKING_DOWNSTAIRS
5030,WALKING_DOWNSTAIRS
5031,WALKING_DOWNSTAIRS
5032,WALKING_DOWNSTAIRS
5033,WALKING_DOWNSTAIRS
5034,WALKING_DOWNSTAIRS
5035,WALKING_DOWNSTAIRS
5036,WALKING_DOWNSTAIRS
5037,WALKING_DOWNSTAIRS
5038,WALKING_DOWNSTAIRS
5039,WALKING_DOWNSTAIRS
5040,WALKING_UPSTAIRS
5041,WALKING_UPSTAIRS
5042,WALKING_UPSTAIRS
5043,WALKING_UPSTAIRS
5044,WALKING_UPSTAIRS
5045,WALKING_UPSTAIRS
5046,WALKING_UPSTAIRS
5047,WALKING_UPSTAIRS
5048,WALKING_UPSTAIRS
5049,WALKING_UPSTAIRS
5050,WALKING_UPSTAIRS
5051,WALKING_UPSTAIRS
5052,WALKING_UPSTAIRS
5053,WALKING_UPSTAIRS
5054,WALKING_UPSTAIRS
5055,WALKING_UPSTAIRS
5056,WALKING_UPSTAIRS
5057,WALKING_UPSTAIRS
5058,WALKING_UPSTAIRS
5059,WALKING_UPSTAIRS
5060,WALKING_UPSTAIRS
5061,WALKING_UPSTAIRS
5062,WALKING_UPSTAIRS
5063,WALKING_UPSTAIRS
5064,WALKING_UPSTAIRS
5065,WALKING_UPSTAIRS
5066,STANDING
5067,STANDING
5068,STANDING
5069,STANDING
5070,STANDING
5071,STANDING
5072,STANDING
5073,STANDING
5074,STANDING
5075,STANDING
5076,STANDING
5077,STANDING
5078,STANDING
5079,STANDING
5080,STANDING
5081,STANDING
5082,STANDING
5083,STANDING
5084,STANDING
5085,STANDING
5086,STANDING
5087,STANDING
5088,STANDING
5089,STANDING
5090,STANDING
5091,STANDING
5092,STANDING
5093,STANDING
5094,STANDING
5095,STANDING
5096,STANDING
5097,STANDING
5098,STANDING
5099,STANDING
5100,STANDING
5101,STANDING
5102,STANDING
5103,SITTING
5104,SITTING
5105,SITTING
5106,SITTING
5107,SITTING
5108,SITTING
5109,SITTING
5110,SITTING
5111,SITTING
5112,SITTING
5113,SITTING
5114,SITTING
5115,SITTING
5116,SITTING
5117,SITTING
5118,SITTING
5119,SITTING
5120,SITTING
5121,SITTING
5122,SITTING
5123,SITTING
5124,SITTING
5125,SITTING
5126,SITTING
5127,SITTING
5128,SITTING
5129,SITTING
5130,SITTING
5131,SITTING
5132,SITTING
5133,SITTING
5134,SITTING
5135,SITTING
5136,SITTING
5137,LAYING
5138,LAYING
5139,LAYING
5140,LAYING
5141,LAYING
5142,LAYING
5143,LAYING
5144,LAYING
5145,LAYING
5146,LAYING
5147,LAYING
5148,LAYING
5149,LAYING
5150,LAYING
5151,LAYING
5152,LAYING
5153,LAYING
5154,LAYING
5155,LAYING
5156,LAYING
5157,LAYING
5158,LAYING
5159,LAYING
5160,LAYING
5161,LAYING
5162,LAYING
5163,LAYING
5164,LAYING
5165,LAYING
5166,LAYING
5167,LAYING
5168,LAYING
5169,LAYING
5170,WALKING
5171,WALKING
5172,WALKING
5173,WALKING
5174,WALKING
5175,WALKING
5176,WALKING
5177,WALKING
5178,WALKING
5179,WALKING
5180,WALKING
5181,WALKING
5182,WALKING
5183,WALKING
5184,WALKING
5185,WALKING
5186,WALKING
5187,WALKING
5188,WALKING
5189,WALKING
5190,WALKING
5191,WALKING
5192,WALKING
5193,WALKING
5194,WALKING
5195,WALKING
5196,WALKING
5197,WALKING
5198,WALKING
5199,WALKING
5200,WALKING
5201,WALKING
5202,WALKING
5203,WALKING
5204,WALKING
5205,WALKING
5206,WALKING_DOWNSTAIRS
5207,WALKING_DOWNSTAIRS
5208,WALKING_DOWNSTAIRS
5209,WALKING_DOWNSTAIRS
5210,WALKING_DOWNSTAIRS
5211,WALKING_DOWNSTAIRS
5212,WALKING_DOWNSTAIRS
5213,WALKING_DOWNSTAIRS
5214,WALKING_DOWNSTAIRS
5215,WALKING_DOWNSTAIRS
5216,WALKING_DOWNSTAIRS
5217,WALKING_DOWNSTAIRS
5218,WALKING_DOWNSTAIRS
5219,WALKING_DOWNSTAIRS
5220,WALKING_DOWNSTAIRS
5221,WALKING_DOWNSTAIRS
5222,WALKING_DOWNSTAIRS
5223,WALKING_DOWNSTAIRS
5224,WALKING_DOWNSTAIRS
5225,WALKING_DOWNSTAIRS
5226,WALKING_DOWNSTAIRS
5227,WALKING_DOWNSTAIRS
5228,WALKING_DOWNSTAIRS
5229,WALKING_DOWNSTAIRS
5230,WALKING_DOWNSTAIRS
5231,WALKING_DOWNSTAIRS
5232,WALKING_DOWNSTAIRS
5233,WALKING_DOWNSTAIRS
5234,WALKING_DOWNSTAIRS
5235,WALKING_DOWNSTAIRS
5236,WALKING_UPSTAIRS
5237,WALKING_UPSTAIRS
5238,WALKING_UPSTAIRS
5239,WALKING_UPSTAIRS
5240,WALKING_UPSTAIRS
5241,WALKING_UPSTAIRS
5242,WALKING_UPSTAIRS
5243,WALKING_UPSTAIRS
5244,WALKING_UPSTAIRS
5245,WALKING_UPSTAIRS
5246,WALKING_UPSTAIRS
5247,WALKING_UPSTAIRS
5248,WALKING_UPSTAIRS
5249,WALKING_UPSTAIRS
5250,WALKING_UPSTAIRS
5251,WALKING_UPSTAIRS
5252,WALKING_UPSTAIRS
5253,WALKING_UPSTAIRS
5254,WALKING_UPSTAIRS
5255,WALKING_UPSTAIRS
5256,WALKING_UPSTAIRS
5257,WALKING_UPSTAIRS
5258,WALKING_UPSTAIRS
5259,WALKING_UPSTAIRS
5260,WALKING_UPSTAIRS
5261,WALKING_UPSTAIRS
5262,WALKING_UPSTAIRS
5263,WALKING_UPSTAIRS
5264,WALKING_UPSTAIRS
5265,WALKING_UPSTAIRS
5266,WALKING_UPSTAIRS
5267,WALKING_UPSTAIRS
5268,WALKING_UPSTAIRS
5269,WALKING_UPSTAIRS
5270,WALKING_UPSTAIRS
5271,STANDING
5272,STANDING
5273,STANDING
5274,STANDING
5275,STANDING
5276,STANDING
5277,STANDING
